order_id,customer_id,order_date,total_amount
1,753,24/5/2021,3114.29
2,36,8/1/2022,5642.57
3,55,10/11/2022,3157.13
4,425,26/6/2021,4195.07
5,344,15/6/2021,6000.48
6,494,6/4/2021,7373.78
7,70,1/11/2022,8502.48
8,710,19/6/2021,5290.43
9,598,28/10/2022,5425.72
10,698,20/11/2022,2422.17
11,268,4/3/2022,2678.84
12,229,30/9/2021,4360.46
13,997,13/6/2022,3778.9
14,922,26/1/2021,6762.37
15,282,27/2/2021,5441.94
16,302,17/9/2022,3665.84
17,430,27/4/2021,2383.36
18,957,5/11/2022,1209.44
19,851,18/1/2022,5769.34
20,224,20/4/2022,3381.32
21,888,28/6/2022,11736.68
22,487,7/2/2021,5000.92
23,350,21/7/2022,2562.74
24,282,29/3/2022,4525.64
25,682,27/6/2021,5676.82
26,164,19/3/2022,6121.08
27,788,15/7/2021,8665.9
28,380,23/11/2021,1832.92
29,923,13/1/2022,1284.73
30,375,15/12/2022,5437.4
31,671,8/7/2021,6315.37
32,184,15/4/2022,1284.73
33,584,8/5/2021,12020.02
34,293,14/7/2022,3665.84
35,536,22/12/2021,6745.09
36,128,14/3/2021,5709.05
37,798,30/4/2022,5150.55
38,491,1/7/2022,7081.43
39,299,23/9/2021,3592.8
40,188,14/9/2021,1690.66
41,247,4/7/2022,1832.92
42,279,12/9/2021,4987.45
43,154,17/8/2022,6344.68
44,446,17/11/2021,9374.8
45,877,27/8/2021,642.8
46,548,24/1/2022,2383.36
47,836,24/5/2022,5937.57
48,789,24/7/2021,9695.58
49,251,1/3/2022,6121.08
50,701,5/11/2022,9187.6
51,279,13/12/2021,9931.65
52,216,29/3/2021,3952.03
53,817,24/12/2021,6163.93
54,275,3/12/2021,1690.66
55,131,6/8/2022,845.39
56,24,18/1/2021,4847.04
57,48,11/5/2021,5441.94
58,950,20/5/2022,1450.11
59,130,9/11/2021,7190.6
60,161,27/4/2022,7123.35
61,186,9/5/2022,4875.5
62,289,29/8/2021,3461.6
63,431,26/5/2021,5742.66
64,207,14/6/2021,2867.49
65,714,20/11/2022,2422.17
66,768,12/6/2022,6621.71
67,420,30/8/2022,10274.72
68,683,6/9/2022,2546.09
69,668,27/3/2021,6770.99
70,162,1/7/2021,2976.46
71,852,25/9/2021,2922.21
72,226,11/8/2021,1690.78
73,704,19/8/2022,7573.11
74,539,28/6/2022,883.51
75,748,30/12/2021,13576.14
76,667,3/11/2021,2076.82
77,141,25/5/2022,11485.16
78,66,25/9/2022,10092.4
79,537,23/12/2021,4033.74
80,828,23/12/2021,4213.89
81,480,2/5/2021,6941.7
82,827,8/2/2022,10231.36
83,543,10/9/2022,6904.14
84,375,15/4/2021,1690.66
85,720,1/6/2022,7456.2
86,241,9/6/2022,1209.44
87,194,19/6/2021,2905.62
88,332,29/4/2022,4828.4
89,319,22/8/2021,13195.31
90,172,16/1/2022,6195.3
91,39,2/3/2022,6335.87
92,775,27/9/2022,5333.35
93,527,27/7/2021,845.39
94,598,20/7/2022,1247.52
95,461,1/6/2021,321.4
96,662,30/3/2022,845.39
97,841,9/8/2021,7837.42
98,672,8/10/2022,5631.56
99,137,26/10/2022,6719.48
100,288,28/2/2022,3714.97
101,140,31/12/2022,1690.66
102,692,25/4/2022,5986.56
103,150,5/6/2022,2745.24
104,589,28/3/2021,7513.72
105,521,3/10/2022,4749.05
106,646,29/12/2022,883.51
107,894,5/11/2021,1191.68
108,597,4/5/2022,8593.55
109,370,18/6/2021,6953.03
110,718,5/7/2021,6833.59
111,253,8/12/2022,4032.47
112,976,11/11/2021,9503.63
113,610,16/1/2022,7367.7
114,841,30/4/2021,3917.1
115,113,29/5/2022,302.76
116,610,27/8/2022,8354.85
